soc_value,soc_label,correct_sic
5119,Agricultural and fishing trades n.e.c.,A
2141,Conservation professionals,A
5111,Farmers,A
9112,Forestry workers,A
1211,Managers and proprietors in agriculture and horticulture,A
1213,"Managers and proprietors in forestry, fishing and related services",A
8122,Coal mine operatives,B
8139,Assemblers and routine operatives n.e.c.,C
5236,Boat and ship builders and repairers,C
5442,Furniture makers and other craft woodworkers,C
5441,"Glass and ceramics makers, decorators and finishers",C
8112,Glass and ceramics process operatives,C
5221,Metal machining setters and setter-operators,C
5214,"Metal plate workers, and riveters",C
5223,Metal working production and maintenance fitters,C
9134,"Packers, bottlers, canners and fillers",C
3217,Pharmaceutical technicians,C
3116,"Planning, process and production technicians",C
8116,Plastics process operatives,C
5224,Precision instrument makers and repairers,C
5423,Print finishing and binding workers,C
8119,Process operatives n.e.c.,C
1121,Production managers and directors in manufacturing,C
3115,Quality assurance technicians,C
2461,Quality control and planning engineers,C
5211,Smiths and forge workers,C
5414,Tailors and dressmakers,C
8113,Textile process operatives,C
5419,"Textiles, garments and related trades n.e.c.",C
1123,Production managers and directors in mining and energy,D
9235,Refuse and salvage occupations,E
1255,Waste disposal and environmental services managers,E
8126,Water and sewerage plant operatives,E
5330,Construction and building trades supervisors,F
8149,Construction operatives n.e.c.,F
2436,Construction project managers and related professionals,F
8143,Rail construction and maintenance operatives,F
9259,Elementary sales occupations n.e.c.,G
5413,Footwear and leather working trades,G
1252,Garage managers and proprietors,G
3536,Importers and exporters,G
7129,Sales related occupations n.e.c.,G
7113,Telephone salespersons,G
7115,Vehicle and parts salespersons and advisers,G
8233,Air transport operatives,H
5235,Aircraft maintenance and related trades,H
3512,Aircraft pilots and flight engineers,H
1162,Managers and directors in storage and warehousing,H
1161,Managers and directors in transport and distribution,H
8232,Marine and waterways transport operatives,H
6215,Rail travel assistants,H
4133,Stock control clerks and assistants,H
8212,Van drivers,H
3544,Estate agents and auctioneers,L
1251,"Property, housing and estate managers",L
2431,Architects,M
3121,Architectural and town planning technicians,M
2434,Chartered surveyors,M
3520,Legal associate professionals,M
2419,Legal professionals n.e.c.,M
4212,Legal secretaries,M
2127,Production and process engineers,M
2432,Town planning officers,M
2216,Veterinarians,M
6131,Veterinary nurses,M
5114,Groundsmen and greenkeepers,N
6231,Housekeepers and related occupations,N
9132,Industrial cleaning process occupations,N
6219,Leisure and travel service occupations n.e.c.,N
1259,Managers and proprietors in other services n.e.c.,N
1226,Travel agency managers and proprietors,N
6212,Travel agents,N
4124,Finance officers,O
3234,Housing officers,O
4113,Local government administrative occupations,O
4112,National government administrative occupations,O
1171,Officers in armed forces,O
3561,Public services associate professionals,O
1173,"Senior officers in fire, ambulance, prison and related services",O
1172,Senior police officers,O
2318,Education advisers and school inspectors,P
4213,School secretaries,P
3235,Counsellors,Q
3216,Dispensing opticians,Q
3219,Health associate professionals n.e.c.,Q
9271,Hospital porters,Q
4211,Medical secretaries,Q
2214,Ophthalmic opticians,Q
2213,Pharmacists,Q
1184,Social services managers and directors,Q
2223,Speech and language therapists,Q
3413,"Actors, entertainers and presenters",R
2452,Archivists and curators,R
3411,Artists,R
3416,"Arts officers, producers and directors",R
3414,Dancers and choreographers,R
1225,Leisure and sports managers,R
2451,Librarians,R
4135,Library clerks and assistants,R
3415,Musicians,R
3441,Sports players,R
6148,"Undertakers, mortuary and crematorium assistants",S
6122,Childminders and related occupations,T